epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,336.241,0.89026,1.84395,0.61099,1.04941,0,0.75418,0.78616,0.80275,0.59362,0.74563,0.77675,0.78967,0.48043,0.92525,1.90225,0.6669,1.13059,0,0.00132192,0.00132192,0.00132192
40,344.184,0.89466,1.85232,0.61328,1.05076,0,0.78153,0.70032,0.78894,0.58193,0.77811,0.69692,0.78058,0.48261,0.97254,1.96824,0.68199,1.16295,0,0.0013191,0.0013191,0.0013191
41,352.592,0.90368,1.85762,0.61802,1.05334,0,0.76171,0.72125,0.74497,0.55271,0.75404,0.71342,0.73801,0.45784,0.92775,1.88777,0.78077,1.13023,0,0.00131628,0.00131628,0.00131628
42,361.043,0.87852,1.82093,0.61932,1.04915,0,0.71625,0.76467,0.77389,0.57826,0.74005,0.72686,0.76221,0.47655,0.90605,1.85704,0.6939,1.11906,0,0.00131346,0.00131346,0.00131346
43,369.059,0.88828,1.81887,0.6166,1.04487,0,0.74244,0.71494,0.772,0.57118,0.73412,0.69935,0.75989,0.48231,0.93583,1.8599,0.7332,1.1315,0,0.00131065,0.00131065,0.00131065
44,377.744,0.89032,1.85348,0.61399,1.04869,0,0.74897,0.77025,0.81038,0.60618,0.74294,0.76336,0.80101,0.50519,0.91125,1.84355,0.64658,1.11876,0,0.00130783,0.00130783,0.00130783
45,385.572,0.88318,1.81847,0.6025,1.04992,0,0.79138,0.71096,0.78208,0.58567,0.78543,0.70426,0.76938,0.48096,0.90599,1.86748,0.67917,1.12367,0,0.00130501,0.00130501,0.00130501
46,393.674,0.88312,1.82787,0.6004,1.04896,0,0.65335,0.79417,0.75669,0.55393,0.71878,0.70573,0.74634,0.44884,0.92798,1.94605,0.69959,1.13194,0,0.00130219,0.00130219,0.00130219
47,402.178,0.87265,1.80793,0.60173,1.03754,0,0.76894,0.75755,0.7884,0.59498,0.7636,0.75131,0.77962,0.49237,0.92484,1.88836,0.69668,1.12758,0,0.00129937,0.00129937,0.00129937
48,410.239,0.87984,1.82039,0.60046,1.04708,0,0.80582,0.68669,0.75979,0.56417,0.79988,0.68033,0.75057,0.47088,0.96035,1.96046,0.7594,1.14293,0,0.00129656,0.00129656,0.00129656
