epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
47,422.498,0.85339,1.84806,0.60494,1.03569,0,0.76984,0.75587,0.81339,0.63278,0.76557,0.75038,0.80556,0.52499,0.8703,1.87581,0.66861,1.01972,0,0.00110362,0.00110362,0.00110362
48,430.733,0.85964,1.86417,0.60413,1.04359,0,0.80438,0.73765,0.78704,0.61272,0.79828,0.73159,0.78055,0.50979,0.8731,1.88169,0.73909,1.03874,0,0.00109654,0.00109654,0.00109654
49,439.324,0.85603,1.87852,0.60427,1.03693,0,0.78983,0.75268,0.80055,0.61954,0.78434,0.74846,0.79169,0.50892,0.88586,1.95282,0.70819,1.01551,0,0.00108947,0.00108947,0.00108947
50,448.291,0.85556,1.85994,0.60247,1.03958,0,0.76917,0.7684,0.80955,0.63179,0.76127,0.76155,0.79824,0.51522,0.86553,1.88495,0.65313,1.01926,0,0.0010824,0.0010824,0.0010824
51,456.73,0.85168,1.85076,0.59521,1.03436,0,0.75635,0.74105,0.78438,0.60871,0.7551,0.73668,0.77579,0.50596,0.88279,1.87644,0.74118,1.04238,0,0.00107532,0.00107532,0.00107532
52,465.299,0.85068,1.86303,0.588,1.03571,0,0.7096,0.71904,0.76519,0.59517,0.70765,0.70856,0.75044,0.46362,0.87929,1.94959,0.71525,1.02571,0,0.00106825,0.00106825,0.00106825
53,474.924,0.84775,1.86021,0.58143,1.03403,0,0.75753,0.7356,0.78468,0.61013,0.77185,0.71494,0.77884,0.50783,0.86169,1.88245,0.6901,1.01015,0,0.00106118,0.00106118,0.00106118
54,483.161,0.83676,1.84417,0.58118,1.03402,0,0.75609,0.70539,0.75206,0.57921,0.76453,0.69927,0.74407,0.47281,0.88437,1.89637,0.74707,1.02029,0,0.0010541,0.0010541,0.0010541
55,491.606,0.84442,1.84569,0.57929,1.03342,0,0.77481,0.79142,0.80572,0.62499,0.76609,0.78239,0.79241,0.51864,0.86696,1.86202,0.65759,1.01731,0,0.00104703,0.00104703,0.00104703
56,500.514,0.85141,1.85823,0.58309,1.03526,0,0.77494,0.7476,0.78638,0.608,0.76517,0.73708,0.76984,0.48808,0.8788,1.97186,0.71951,1.03631,0,0.00103995,0.00103995,0.00103995
57,509.658,0.83265,1.82977,0.57584,1.03011,0,0.78399,0.732,0.7744,0.58711,0.77965,0.72729,0.76768,0.48885,0.902,1.9131,0.74176,1.0575,0,0.00103288,0.00103288,0.00103288
58,517.982,0.82172,1.82701,0.57724,1.02845,0,0.79272,0.70612,0.74961,0.57367,0.78732,0.69944,0.73977,0.46794,0.87874,1.94661,0.73022,1.05712,0,0.00102581,0.00102581,0.00102581
59,526.046,0.8385,1.8382,0.57538,1.03216,0,0.73834,0.78091,0.78777,0.61373,0.73289,0.77561,0.77938,0.50258,0.8704,1.85251,0.68463,1.02387,0,0.00101873,0.00101873,0.00101873
60,535.579,0.83305,1.82899,0.57743,1.02733,0,0.74387,0.72932,0.7745,0.59858,0.73701,0.7228,0.76548,0.49707,0.89752,1.87394,0.6818,1.03419,0,0.00101166,0.00101166,0.00101166
61,544.234,0.82576,1.80821,0.56498,1.02425,0,0.7553,0.75412,0.7875,0.61683,0.7486,0.74693,0.77714,0.50318,0.86999,1.84903,0.66929,1.03092,0,0.00100459,0.00100459,0.00100459
